Geoname ID;Name;ASCII Name;Alternate Names;Feature Class;Feature Code;Country Code;Country name EN;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;LABEL EN;Coordinates
1692691;Puerto Bello;Puerto Bello;Hacienda Porto Bello,Puerto Bello;P;PPL;PH;Philippines;;08;37;083736000;;2887;;17;Asia/Manila;2017-12-13;Philippines;10.9733, 124.5351
1697769;New Iloilo;New Iloilo;New Iloilo;P;PPL;PH;Philippines;;12;70;126315000;;3707;;31;Asia/Manila;2017-12-13;Philippines;6.54776, 124.78951
1700013;Maydolong;Maydolong;Maydolong;P;PPL;PH;Philippines;;08;23;082615000;;5492;;6;Asia/Manila;2017-12-13;Philippines;11.50021, 125.49811
1701383;Manup;Manup;Manup;P;PPL;PH;Philippines;;06;04;060401000;;2433;;23;Asia/Manila;2017-12-13;Philippines;11.5315, 122.498
1706377;Limao;Limao;Limao;P;PPL;PH;Philippines;;11;I7;112317000;;2123;;27;Asia/Manila;2017-12-13;Philippines;7.07917, 125.67361
1712387;Guindapunan;Guindapunan;Guindapunan;P;PPL;PH;Philippines;;08;37;083715000;;2279;;6;Asia/Manila;2017-12-13;Philippines;11.30278, 124.70583
1726670;Barili;Barili;Barili;P;PPLA3;PH;Philippines;;07;21;072210000;;7588;;12;Asia/Manila;2017-12-13;Philippines;10.115, 123.5103
1180281;Dera Ismail Khan;Dera Ismail Khan;DSK,Dera Ismail Khan;P;PPLA2;PK;Pakistan;;03;1180282;;;101616;;177;Asia/Karachi;2019-07-11;Pakistan;31.83129, 70.9017
770751;Izbica;Izbica;Izbica,Izbica (Osada),איזביצה,איזשביצע;P;PPLA3;PL;Poland;;75;0606;060604;;1933;;186;Europe/Warsaw;2017-09-14;Poland;50.88728, 23.15248
3089340;Pawłowice;Pawlowice;;P;PPL;PL;Poland;;83;2410;241004;;9929;;264;Europe/Warsaw;2010-09-06;Poland;49.96127, 18.71778
3103365;Bieruń;Bierun;Berun,Berun',Beruna,Beruņa,Beruň,Bierun,Bierun Stary,Bieruń,Bieruń Stary,Bjerun,Bjeruń,bie lun,byeruni,Берун,Берунь,Бјеруњ,ビェルニ,別倫;P;PPLA2;PL;Poland;;83;2414;241401;;19659;;239;Europe/Warsaw;2014-09-14;Poland;50.09, 19.09291
4565564;Humacao;Humacao;HUC,Umakao,humaka'o,wu ma kao,Умакао,اوماکاو، پورٹو ریکو,হুমাকাও,烏馬考;P;PPLA;PR;Puerto Rico;;069;7268486;;;20387;22;25;America/Puerto_Rico;2015-08-03;Puerto Rico;18.14968, -65.82738
7915400;Khursā;Khursa;Khirbat Kharsa',Khirbat Kharsā’,Khirbat Khursa,Khirbat Khursah,Khursa,Khursā,khrsa,خرسا;P;PPL;PS;West Bank and Gaza Strip;;WE;;;;3388;;844;Asia/Hebron;2023-11-13;West Bank and Gaza Strip;31.48232, 35.01742
1858249;Kuroda;Kuroda;Kisogawa,Kuroda,Курода;P;PPL;JP;Japan;;01;1861940;;;32586;;10;Asia/Tokyo;2017-04-09;Japan;35.35, 136.78333
2128894;Noboribetsu;Noboribetsu;Noboribecu,Noboribetsu,Noboribetsucho,Noboribetu-chhi,Noboribetu-chhī,deng bie,deng bie shi,noa boa ri bea su,nobolibesseu si,nwbwrybtsw  hwkaydw,nwbwrybytsw,Ноборибетсу,Ноборибецу,Ноборібецу,نوبوريبيتسو,نوبوریبتسو، هوکایدو,โนะโบะริเบะสึ,登別,登別市,노보리베쓰 시;P;PPLA2;JP;Japan;;12;2128892;;;0;;10;Asia/Tokyo;2017-07-22;Japan;42.45215, 141.17914
11611628;Higashikurume;Higashikurume;dong jiu liu mi,東久留米;P;PPLA2;JP;Japan;;40;1862785;;;117020;;61;Asia/Tokyo;2023-10-12;Japan;35.75202, 139.51169
1526601;Aktau;Aktau;Aktau,Актау;P;PPL;KZ;Kazakhstan;;12;;;;9977;;765;Asia/Almaty;2013-05-07;Kazakhstan;48.03333, 72.83333
9948272;Sekong;Sekong;;P;PPLA;LA;Lao People's Dem. Rep.;;26;;;;0;;148;Asia/Vientiane;2019-04-22;Lao People's Dem. Rep.;15.34582, 106.72368
12687308;Wādī 'Utbah;Wadi 'Utbah;;P;PPL;LY;Libyan Arab Jamahiriya;;73;;;;16746;;491;Africa/Tripoli;2023-12-21;Libyan Arab Jamahiriya;26.09502, 13.55744
2377796;Moudjéria;Moudjeria;MOM,Moudjeria,Moudjéria;P;PPL;MR;Mauritania;;09;;;;1899;;77;Africa/Nouakchott;2024-01-18;Mauritania;17.87364, -12.33185
3515679;Santiago Tianguistenco de Galeana;Santiago Tianguistenco de Galeana;San Tianguistenco,Santiago Tianguistenco,Santiago Tianguistenco de Galeana,Santiago Tíanguistenco,Tianguistenco,Tianguistenco de Galeana,Tianguistengo;P;PPLA2;MX;Mexico;;15;101;;;13106;;2637;America/Mexico_City;2018-11-03;Mexico;19.18024, -99.46644
3528702;El Mirador;El Mirador;El Mirador,Mirador;P;PPL;MX;Mexico;;30;058;;;1353;;162;America/Mexico_City;2018-11-03;Mexico;21.01168, -97.94387
3817786;San Miguel Atlamajac;San Miguel Atlamajac;San Miguel Atlamaja,San Miguel Atlamajac;P;PPL;MX;Mexico;;15;084;;;2088;;2305;America/Mexico_City;2018-11-03;Mexico;19.74884, -98.93335
3827229;San Pedro Abajo;San Pedro Abajo;San Pedro Abajo,San Pedro de Abajo;P;PPL;MX;Mexico;;15;087;;;5581;;2807;America/Mexico_City;2015-06-22;Mexico;19.48093, -99.567
8858670;Progreso;Progreso;Progreso;P;PPL;MX;Mexico;;24;024;;;2144;;1083;America/Mexico_City;2014-04-11;Mexico;22.22833, -100.12806
2335369;Kaltungo;Kaltungo;Kalfungo,Kaltungo;P;PPLA2;NG;Nigeria;;55;16007;;;12357;;489;Africa/Lagos;2016-01-30;Nigeria;9.81998, 11.30871
